"ID_sample","Altitude","Plot","Betula pendula","Betula pubescens","Sorbus aucuparia","Corylus avellana","Picea abies","Fraxinus excelsior","Alnus glutinosa","Alnus incana","Pinus sylvestris","Salix sp.","Fagus sylvatica","Rhamnus cathartica","Pinus sp.","Acer sp.","Quercus sp.","Abies alba","Aesculus hippocastanum","Carpinus betulus","Pinaceae sp.","Pinus nigra","Quercus rotundifolia","Sorbus domestica","Quercus faginea","Populus tremula","Larix decidua","Pinus cembra"
"IEL2B",245,"B",0,90,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IEL2C",246,"C",0,95,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IEL3A",110,"A",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IEL3B",115,"B",0,90,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IEL3C",109,"C",0,90,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEL1A",1392,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEL1B",1394,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEL1C",1390,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEL2A",1210,"A",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEL2B",1190,"B",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEL2C",1200,"C",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEL3A",1015,"A",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEL3B",1028,"B",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEL3C",1028,"C",0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
"SKEL4A",780,"A",0,0,0,0,15,0,0,0,0,0,80,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"SKEL4B",781,"B",0,0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEL4C",778,"C",0,0,0,0,15,0,0,0,0,0,70,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"DAEL1A",2070,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEL1B",2070,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEL1C",2070,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEL2A",1730,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70
"DAEL2B",1700,"B",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,90
"DAEL2C",1700,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70
"DAEL3A",1440,"A",0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
"DAEL3B",1440,"B",0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
"DAEL3C",1440,"C",0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
"DAEL4A",1280,"A",0,0,0,0,80,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEL4B",1290,"B",0,0,0,0,80,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEL4C",1290,"C",0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEL5A",890,"A",0,0,0,0,20,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEL5B",900,"B",0,0,0,0,20,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEL5C",900,"C",0,0,0,0,20,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEL6A",600,"A",0,0,0,0,10,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
"DAEL6B",600,"B",0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEL6C",590,"C",0,0,0,0,20,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
